Time,C G1 G1,C G1 G2,C G1 G3,C G1 G4,C G2 G2,C G2 G3,C G2 G4,C G3 G3,C G3 G4,C G4 G4,CC G1,CC G2,CC G3,CC G4,CVS G1,CVS G2,CVS G3,CVS G4,CI G1,CI G2,CI G3,CI G4,CAB G1 G3,CAB G1 G4,DME,FT,I G1,I0 G1,I G2,I0 G2,I G3,I0 G3,I G4,I0 G4,IT,P G1,P G2,P G3,P G4,PT0 G1,PT0 G2,PT0 G3,PT0 G4,PTE,R G1,R G2,R G3,R G4,S G1,S0 G1,S G2,S0 G2,S G3,S0 G3,S G4,S0 G4,SAVEPER,TC G1,TCS G1 G1,TCS G1 G2,TCS G1 G3,TCS G1 G4,TC G2,TCS G2 G1,TCS G2 G2,TCS G2 G3,TCS G2 G4,TC G3,TCS G3 G1,TCS G3 G2,TCS G3 G3,TCS G3 G4,TC G4,TCS G4 G1,TCS G4 G2,TCS G4 G3,TCS G4 G4,TCONTAGIO G1,TCONTAGIO G2,TCONTAGIO G3,TCONTAGIO G4,TR,TIME STEP,TVS
20,,,,,,,,,,,898103,665295,302991,151496,0.593945,0.411026,0.188137,0.0940683,285813,209367,942493,471246,,,,,718482,,532236,,242393,,121197,,,0.0718482,0.106447,0.121197,0.121197,,,,,,296973,205513,940683,470341,898454,999,426225,500,166354,200,831769,100,,0.636233,0.287393,0.106447,0.121197,0.121197,0.982423,0.0718482,0.425789,0.242393,0.242393,113312,0.0718482,0.212894,0.484786,0.36359,113312,0.0718482,0.212894,0.36359,0.484786,0.0318117,0.0491211,0.0566559,0.0566559,125,,
21,,,,,,,,,,,117069,860969,390058,195029,0.786183,0.553504,0.252826,0.126413,357402,255941,114096,570481,,,,,936553,,688775,,312047,,156023,,,0.0936553,0.137755,0.156023,0.156023,,,,,,393091,276752,126413,632065,867036,999,403447,500,156154,200,78077,100,,0.824423,0.374621,0.137755,0.156023,0.156023,126877,0.0936553,0.55102,0.312047,0.312047,146133,0.0936553,0.27551,0.624094,0.46807,146133,0.0936553,0.27551,0.46807,0.624094,0.0412212,0.0634385,0.0730665,0.0730665,125,,
22,,,,,,,,,,,149831,108793,489593,244797,103409,0.735112,0.334769,0.167385,432939,300872,132485,662423,,,,,119865,,870342,,391675,,195837,,,0.119865,0.174068,0.195837,0.195837,,,,,,517044,367556,167385,836923,828.43,999,376.21,500,144094,200,72047,100,,10452,0.479461,0.174068,0.195837,0.195837,159949,0.119865,0.696274,0.391675,0.391675,183886,0.119865,0.348137,0.783349,0.587512,183886,0.119865,0.348137,0.587512,0.783349,0.0522602,0.0799744,0.0919432,0.0919432,125,,
23,,,,,,,,,,,187512,133707,59681,298405,134701,0.960471,0.435664,0.217832,505358,33822,146712,73356,,,,,150.01,,106966,,477448,,238724,,,0.15001,0.213932,0.238724,0.238724,,,,,,673505,480236,217832,108916,782.64,999,345011,500,130472,200,65236,100,,129142,0.600039,0.213932,0.238724,0.238724,196063,0.15001,0.855727,0.477448,0.477448,224894,0.15001,0.427863,0.954897,0.716172,224894,0.15001,0.427863,0.716172,0.954897,0.0645709,0.0980316,0.112447,0.112447,125,,
24,,,,,,,,,,,228663,159331,704401,352201,173211,12317,0.555965,0.277983,566173,362209,154376,771881,,,,,182.93,,127465,,563521,,281761,,,0.18293,0.25493,0.281761,0.281761,,,,,,866053,615849,277983,138991,730465,999,310.95,500,115.85,200,579248,100,,155017,0.731721,0.25493,0.281761,0.281761,232969,0.18293,101972,0.563521,0.563521,266511,0.18293,0.50986,112704,0.845282,266511,0.18293,0.50986,0.845282,112704,0.0775086,0.116485,0.133256,0.133256,125,,
25,,,,,,,,,,,271028,183762,803728,401864,219269,154744,0.694512,0.347256,607634,369172,154256,771281,,,,,216822,,147.01,,642982,,321491,,,0.216822,0.294019,0.321491,0.321491,,,,,,109635,773718,347256,173628,673543,999,275619,500,100976,200,504881,100,,180429,0.867288,0.294019,0.321491,0.321491,267886,0.216822,117608,0.642982,0.642982,30553,0.216822,0.588038,128596,0.964473,30553,0.216822,0.588038,0.964473,128596,0.0902145,0.133943,0.152765,0.152765,125,,
26,,,,,,,,,,,31187,20509,886713,443357,2727,190251,0.848478,0.424239,625055,358894,146792,733959,,,,,249496,,164072,,709371,,354685,,,0.249496,0.328144,0.354685,0.354685,,,,,,136.35,951254,424239,212119,614154,999,240802,500,86639,200,433195,100,,20355,0.997983,0.328144,0.354685,0.354685,298081,0.249496,131258,0.709371,0.709371,338858,0.249496,0.656289,141874,106406,338858,0.249496,0.656289,106406,141874,0.101775,0.149041,0.169429,0.169429,125,,
27,,,,,,,,,,,34848,221816,94766,47383,332781,228841,101371,0.506853,618122,334529,133849,669243,,,,,278784,,177453,,758128,,379064,,,0.278784,0.354905,0.379064,0.379064,,,,,,166391,114.42,506853,253426,554825,999,208127,500,735019,200,36751,100,,222817,111514,0.354905,0.379064,0.379064,321466,0.278784,141962,0.758128,0.758128,364204,0.278784,0.709811,151626,113719,364204,0.278784,0.709811,113719,151626,0.111409,0.160733,0.182102,0.182102,125,,
28,,,,,,,,,,,378685,233122,984209,492105,398315,269447,118532,0.592659,590541,301212,117942,589708,,,,,302948,,186498,,787367,,393684,,,0.302948,0.372996,0.393684,0.393684,,,,,,199158,134724,592659,296329,497895,999,178779,500,619974,200,309987,100,,237215,121179,0.372996,0.393684,0.393684,336966,0.302948,149198,0.787367,0.787367,380472,0.302948,0.745991,157473,118105,380472,0.302948,0.745991,118105,157473,0.118608,0.168483,0.190236,0.190236,125,,
29,,,,,,,,,,,401161,238919,997196,498598,467779,310937,135839,0.679196,548407,264265,101409,507045,,,,,320929,,191135,,797757,,398878,,,0.320929,0.382271,0.398878,0.398878,,,,,,233.89,155469,679196,339598,445182,999,153396,500,523048,200,261524,100,,246374,128371,0.382271,0.398878,0.398878,344552,0.320929,152908,0.797757,0.797757,387762,0.320929,0.764541,159551,119664,387762,0.320929,0.764541,119664,159551,0.123187,0.172276,0.193881,0.193881,125,,
